query_id,query_text,N,doc_id,title,date,link,top5_configs,relevant
1,impeachment de Dilma Rousseff,1000,508,Veja repercussão no exterior de votação de impeachment na Câmara,2016-04-17,http://www1.folha.uol.com.br/mundo/2016/04/1762013-veja-como-a-imprensa-estrangeira-esta-relatando-a-situacao-politica-no-brasil.shtml,c1|c2|c3|c4,1
1,impeachment de Dilma Rousseff,1000,580,Alckmin deve subir o tom sobre impeachment nos próximos dias,2015-09-12,http://www1.folha.uol.com.br/colunas/monicabergamo/2015/12/1716604-alckmin-deve-subir-o-tom-sobre-impeachment-nos-proximos-dias.shtml,c1|c2|c3|c4,1
1,impeachment de Dilma Rousseff,1000,958,"Mesmo elogiado por Dilma, Ciro critica governo da petista",2016-01-22,http://www1.folha.uol.com.br/poder/2016/01/1732427-mesmo-elogiado-por-dilma-ciro-critica-governo-da-petista.shtml,c1|c2|c3|c4,1
1,impeachment de Dilma Rousseff,1000,644,"CNJ deve tomar providências para excessos do Judiciário, diz Renan",2016-03-23,http://www1.folha.uol.com.br/poder/2016/03/1753288-cnj-deve-tomar-providencias-para-excessos-do-judiciario-diz-renan.shtml,c1|c2|c3|c4,1
1,impeachment de Dilma Rousseff,1000,274,"STF não pretende discutir no mérito processo de impeachment, diz Barroso",2016-03-28,http://www1.folha.uol.com.br/poder/2016/03/1754945-stf-nao-pretende-discutir-no-merito-processo-de-impeachment-diz-barroso.shtml,c1|c2|c3|c4,1
2,operação Lava Jato delação,1000,192,"'Tem muita delação mentirosa', diz Haddad ao ser questionado sobre Palocci",2017-09-29,http://www1.folha.uol.com.br/poder/2017/09/1922819-tem-muita-delacao-mentirosa-diz-haddad-ao-ser-questionado-sobre-palocci.shtml,c1|c2|c3|c4,1
2,operação Lava Jato delação,1000,859,Janot diz que suspeita de vazamento é 'especulação' e nega citações a Toffoli,2016-08-23,http://www1.folha.uol.com.br/poder/2016/08/1806138-janot-diz-que-suspeitas-de-vazamento-sao-especulacao-e-nega-haver-citacoes-a-toffoli.shtml,c1|c2|c3|c4,1
2,operação Lava Jato delação,1000,165,Defesa de Palocci entra com recurso para tentar anular delações premiadas,2016-03-02,http://www1.folha.uol.com.br/poder/2016/02/1736664-defesa-de-palocci-entra-com-recurso-para-tentar-anular-delacoes-premiadas.shtml,c1|c2|c3|c4,1
2,operação Lava Jato delação,1000,72,Conselho de Ética do Senado aprova cassação de Delcídio do Amaral,2016-03-05,http://www1.folha.uol.com.br/poder/2016/05/1767332-conselho-de-etica-do-senado-aprova-cassacao-de-delcidio-do-amaral.shtml,c1|c2|c3,1
2,operação Lava Jato delação,1000,314,Procuradoria e PF divergem quanto a modelo de delação premiada,2016-04-10,http://www1.folha.uol.com.br/poder/2016/10/1819801-procuradoria-e-pf-divergem-quanto-a-modelo-de-delacao-premiada.shtml,c1|c2|c3|c4,0
2,operação Lava Jato delação,1000,213,JBS negocia leniência e tem ex-procurador da Lava Jato na equipe,2017-05-18,http://www1.folha.uol.com.br/poder/2017/05/1885351-jbs-negocia-leniencia-e-tem-ex-procurador-da-lava-jato-na-equipe.shtml,c4,0
3,reforma da previdência,1000,59,Temer enviará reforma da Previdência ao Congresso até o fim de setembro,2016-06-09,http://www1.folha.uol.com.br/mercado/2016/09/1810770-temer-enviara-reforma-da-previdencia-ao-congresso-ate-o-fim-de-setembro.shtml,c1|c2|c3|c4,1
3,reforma da previdência,1000,917,Ministro Nelson Barbosa reforça necessidade de reforma previdenciária,2016-11-03,http://www1.folha.uol.com.br/mercado/2016/03/1748925-nelson-barbosa-reforca-necessidade-de-reforma-previdenciaria.shtml,c1|c2|c3|c4,1
3,reforma da previdência,1000,198,Nova aposentadoria de servidor pode economizar R$ 88 bilhões,2017-07-16,http://www1.folha.uol.com.br/mercado/2017/07/1901642-nova-aposentadoria-de-servidor-pode-economizar-r-88-bi.shtml,c1|c2|c3|c4,1
3,reforma da previdência,1000,417,CNI prega reforma da previdência e adoção de idade mínima,2016-04-29,http://www1.folha.uol.com.br/poder/2016/04/1766103-cni-prega-reforma-da-previdencia-e-adocao-de-idade-minima.shtml,c1|c2|c3|c4,1
3,reforma da previdência,1000,307,O Estado do mal-estar social,2017-03-17,http://www1.folha.uol.com.br/colunas/vladimirsafatle/2017/03/1867082-o-estado-do-mal-estar-social.shtml,c1|c2|c3|c4,1
4,crise hídrica em São Paulo,1000,566,"'Mudanças climáticas vieram para ficar', afirma Alckmin no interior",2015-04-02,http://www1.folha.uol.com.br/cotidiano/2015/02/1585028-mudancas-climaticas-vieram-para-ficar-afirma-alckmin-no-interior.shtml,c1|c2|c3|c4,1
4,crise hídrica em São Paulo,1000,244,Sabesp entregou 700 das 25 mil caixas-d'água prometidas para amenizar crise,2015-02-03,http://www1.folha.uol.com.br/cotidiano/2015/03/1597184-sabesp-entregou-700-das-25-mil-caixas-dagua-prometidas-para-amenizar-crise.shtml,c1|c2|c3|c4,1
4,crise hídrica em São Paulo,1000,321,Nível do Cantareira continua estável após dia quase sem chuva em SP,2015-05-03,http://www1.folha.uol.com.br/cotidiano/2015/03/1598407-nivel-do-cantareira-continua-estavel-apos-dia-quase-sem-chuva-em-sp.shtml,c1|c2|c3|c4,1
4,crise hídrica em São Paulo,1000,287,Crise política no Brasil gera pico de cobertura na imprensa dos EUA,2017-05-18,http://www1.folha.uol.com.br/poder/2017/05/1885316-crise-politica-no-brasil-gera-pico-de-cobertura-na-imprensa-dos-eua.shtml,c1|c2|c3|c4,0
4,crise hídrica em São Paulo,1000,333,"Após ser vaiada em SP, Dilma encontrará Lula em Brasília",2015-10-03,http://www1.folha.uol.com.br/poder/2015/03/1600737-apos-vaia-dilma-muda-planos-e-se-encontrara-com-lula-em-brasilia.shtml,c1|c2|c3,0
4,crise hídrica em São Paulo,1000,50,"Para Cid, combate a corrupção afasta presidente de aliados",2015-03-19,http://www1.folha.uol.com.br/poder/2015/03/1604929-para-cid-combate-a-corrupcao-afasta-presidente-de-aliados.shtml,c4,0
5,eleição municipal 2016,1000,893,"PT desiste de ter candidato a prefeito em Ribeirão Preto, terra de Palocci",2016-04-07,http://www1.folha.uol.com.br/poder/2016/07/1788387-pt-desiste-de-ter-candidato-a-prefeito-em-ribeirao-preto-terra-de-palocci.shtml,c1|c2|c3|c4,1
5,eleição municipal 2016,1000,789,"Situação é delicada para o PT, mas o partido ainda tem força, diz Haddad",2015-04-08,http://www1.folha.uol.com.br/cotidiano/2015/08/1664205-situacao-e-delicada-para-o-pt-mas-o-partido-ainda-tem-forca-diz-haddad.shtml,c1|c2|c3|c4,1
5,eleição municipal 2016,1000,59,Temer enviará reforma da Previdência ao Congresso até o fim de setembro,2016-06-09,http://www1.folha.uol.com.br/mercado/2016/09/1810770-temer-enviara-reforma-da-previdencia-ao-congresso-ate-o-fim-de-setembro.shtml,c1|c2|c3|c4,0
5,eleição municipal 2016,1000,884,"São Paulo terá 50 salas de cinema municipais até 2016, afirma Haddad",2015-02-02,http://www1.folha.uol.com.br/cotidiano/2015/02/1584067-cidade-tera-50-salas-de-cinema-municipais-ate-2016-diz-haddad.shtml,c1|c2|c3|c4,0
5,eleição municipal 2016,1000,327,"Em 2010, Temer dizia que PMDB ajudaria Dilma 'mesmo sem cargos'",2016-04-27,http://www1.folha.uol.com.br/poder/2016/04/1765175-em-2010-temer-dizia-que-pmdb-ajudaria-dilma-mesmo-sem-cargos.shtml,c1|c2|c3|c4,0
1,impeachment de Dilma Rousseff,5000,1485,Ministério Público investigará Dilma no inquérito das pedaladas,2016-02-09,http://www1.folha.uol.com.br/poder/2016/09/1809889-mp-incluira-dilma-entre-investigados-de-inquerito-das-pedaladas.shtml,c1|c2|c3|c4,1
1,impeachment de Dilma Rousseff,5000,508,Veja repercussão no exterior de votação de impeachment na Câmara,2016-04-17,http://www1.folha.uol.com.br/mundo/2016/04/1762013-veja-como-a-imprensa-estrangeira-esta-relatando-a-situacao-politica-no-brasil.shtml,c1|c2|c3|c4,1
1,impeachment de Dilma Rousseff,5000,4723,Juristas vão a Brasília dar apoio a Dilma Rousseff,2016-03-21,http://www1.folha.uol.com.br/colunas/monicabergamo/2016/03/1752365-juristas-vao-a-brasilia-dar-apoio-a-dilma-rousseff.shtml,c1|c2|c3|c4,1
